"Image_Filename","annotation_area_sqm","Porifera indet. ","Asconema msp 1","Caulophacus msp. 1","Cladorhizidae msp 1","Polychaeta indet. ","Polychaeta msp 1","Polychaeta msp 2","Polychaeta msp 3","Polychaeta msp 5","Actiniaria msp 1","Actiniaria msp 2","Zoantharia msp 1","Tubelariidae msp 1","Asteroidea msp. 1","Ophiuroidea","Elpidiidae msp 1","Polychaeta msp 4","Enteropneusta msp 1","Nemertea msp 1","Crustacea indet","Amphipoda indet. ","Amphipoda msp 1","Amphipoda msp 2","Amphipoda msp 3","Amphipoda msp 4","Amphipoda msp 5","Isopoda indet. ","Isopoda msp 1","Isopoda msp 2","Decapoda indet. ","Caridea msp 1","Caridea msp 2","Caridea msp 3","Caridea msp 4 (juveniles)","Bivalvia msp 1","Animal indet","Image unique ID","Cruise","Dive ID","Date/Time","Date","Time","Longitude (DD)","Latitude (DD)","Depth water (m)","Depth min","Depth max","Slope","Distance group","Annotator","Altitude/Image quality (0 to 3)","Overlap (e.g. Not annotated - overlap with previous image)","Hydrothermal vent field (Vent/Near Vent/Far)","Notes on observations","Annotation area","Habitat_description","Uncertainty_coordinates","EEZ","PA","Type of Record","Title","Institution","Sampling method","Device"
"TIMER_2019_10_01_at_22_31_20_CP4A6545.JPG",6.025485394633,0,0,0,0,0,0,0,0,0,0,0.165961733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:31:20","2019-10-01","22:31:20",-5.96179313,82.89442343,4046.8,3996.8,4096.8,0,"300m","José Santos",2,"No overlap","Outside Aurora Seamount","",1,"Muddy sediments",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_32_20_CP4A6550.JPG",1.4171017988642,0,0,0,0,0,0,0.705665606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:32:20","2019-10-01","22:32:20",-5.96140297,82.89441401,4046,3996,4096,0,"300m","José Santos",2,"No overlap","Outside Aurora Seamount","",1,"Muddy sediments | Accumulation of Spicule: Small coverage (<10%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_35_25_CP4A6565.JPG",2.1033869103135,0,0,0,0,0,0,0.475423706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:35:25","2019-10-01","22:35:25",-5.96024385,82.89439215,4044.6,3994.6,4094.6,0,"300m","José Santos",2,"No overlap","Outside Aurora Seamount","Bioturbation tunnels",1,"Muddy sediments",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_36_47_CP4A6574.JPG",1.7572108214216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:36:47","2019-10-01","22:36:47",-5.959694,82.8943883,4043.9,3993.9,4093.9,0,"300m","José Santos",2,"No overlap","Outside Aurora Seamount","",1,"Muddy sediments | Accumulation of Spicule: Medium coverage (10%-50%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_37_07_CP4A6575.JPG",2.2923603782562,0,0,0,0,0,0,0.436231584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:37:07","2019-10-01","22:37:07",-5.95957662,82.89438922,4043.9,3993.9,4093.9,0,"300m","José Santos",1,"No overlap","Outside Aurora Seamount","",1,"Muddy sediments | Accumulation of Spicule: Small coverage (<10%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_37_48_CP4A6579.JPG",1.528214126423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:37:48","2019-10-01","22:37:48",-5.95929975,82.89438273,4043.1,3993.1,4093.1,0,"300m","José Santos",2,"No overlap","Outside Aurora Seamount","",1,"Muddy sediments | Accumulation of Spicule: Medium coverage (10%-50%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_38_08_CP4A6581.JPG",1.617378760566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:38:08","2019-10-01","22:38:08",-5.95916827,82.89438323,4043.1,3993.1,4093.1,0,"300m","José Santos",1,"Partial overlap (annotated)","Outside Aurora Seamount","",1,"Muddy sediments | Accumulation of Spicule: Small coverage (<10%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_38_30_CP4A6582.JPG",1.67673913188,0,0,0,0,0,0,0.596395695,0,0,0,0,0,0,0,0.596395695,0,0,0,0,0,0,0,0,0,0,0,0,1.19279139,0,0,0,0,0,0,0,0,270,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:38:30","2019-10-01","22:38:30",-5.9590456,82.89438117,4042.4,3992.4,4092.4,0,"300m","José Santos",1,"Partial overlap (annotated)","Outside Aurora Seamount","",1,"Muddy sediments",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_38_51_CP4A6583.JPG",1.746611503292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:38:51","2019-10-01","22:38:51",-5.95888143,82.89437963,4042.4,3992.4,4092.4,0,"300m","José Santos",1,"No overlap","Outside Aurora Seamount","",1,"Muddy sediments | Accumulation of Spicule: Medium coverage (10%-50%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_01_at_22_39_12_CP4A6584.JPG",1.8050879343267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553989632,0,0,0,0,0,0,0,272,"HACON2019","KH19_24_OFOBS03","2019-10-01T22:39:12","2019-10-01","22:39:12",-5.95874403,82.89438007,4042.4,3992.4,4092.4,0,"300m","José Santos",1,"No overlap","Outside Aurora Seamount","",1,"Muddy sediments | Accumulation of Spicule: Medium coverage (10%-50%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
