Term,Class,Table,OBIS,GBIF,EMODnet,OBIS.manual,SMBD.workshop
eventDate,event,Event,required,required,required,required,NA
eventDate,event,Occurrence.Core,required,required,NA,required,NA
eventID,event,Event,required,required,required,NA,NA
eventID,event,Occurrence,required,NA,required,NA,NA
eventID,event,eMoF,required,NA,required,NA,NA
decimalLatitude,location,Event,required,strongly recommended,required,required,NA
decimalLatitude,location,Occurrence.Core,required,strongly recommended,NA,required,NA
decimalLongitude,location,Event,required,strongly recommended,required,required,NA
decimalLongitude,location,Occurrence.Core,required,strongly recommended,NA,required,NA
occurrenceID,occurrence,Occurrence.Core,required,required,NA,required,NA
occurrenceID,occurrence,Occurrence,required,required,required,required,NA
occurrenceID,occurrence,eMoF,required,NA,recommended,required,NA
occurrenceID,occurrence,DNA,required,NA,NA,required,NA
occurrenceStatus,occurrence,Occurrence.Core,required,NA,NA,required,NA
occurrenceStatus,occurrence,Occurrence,required,NA,required,required,NA
basisOfRecord,record,Occurrence.Core,required,required,NA,required,NA
basisOfRecord,record,Occurrence,required,required,required,required,NA
scientificName,taxon,Occurrence.Core,required,required,NA,required,NA
scientificName,taxon,Occurrence,required,required,required,required,NA
scientificNameID,taxon,Occurrence.Core,strongly recommended,NA,NA,required,NA
scientificNameID,taxon,Occurrence,strongly recommended,NA,required,required,NA
DNA_sequence,dna,DNA,strongly recommended,NA,NA,NA,NA
env_broad_scale,dna,DNA,strongly recommended,NA,NA,NA,NA
env_local scale,dna,DNA,recommended,NA,NA,NA,NA
env_medium,dna,DNA,strongly recommended,NA,NA,NA,NA
lib_layout,dna,DNA,recommended,NA,NA,NA,NA
nucl_acid_amp,dna,DNA,recommended,NA,NA,NA,NA
nucl_acid_ext,dna,DNA,recommended,NA,NA,NA,NA
otu_class_appr,dna,DNA,recommended,NA,NA,NA,NA
otu_db,dna,DNA,recommended,NA,NA,NA,NA
otu_seq_comp_appr,dna,DNA,recommended,NA,NA,NA,NA
pcr_primer_forward,dna,DNA,strongly recommended,NA,NA,NA,NA
pcr_primer_name_forward,dna,DNA,strongly recommended,NA,NA,NA,NA
pcr_primer_name_reverse,dna,DNA,strongly recommended,NA,NA,NA,NA
pcr_primer_reference,dna,DNA,strongly recommended,NA,NA,NA,NA
pcr_primer_reverse,dna,DNA,strongly recommended,NA,NA,NA,NA
samp_name,dna,DNA,recommended,NA,NA,NA,NA
samp_vol_we_dna_ext,dna,DNA,recommended,NA,NA,NA,NA
seq_meth,dna,DNA,recommended,NA,NA,NA,NA
sop,dna,DNA,recommended,NA,NA,NA,NA
target_gene,dna,DNA,strongly recommended,NA,NA,NA,NA
target_subfragment,dna,DNA,strongly recommended,NA,NA,NA,NA
day,event,Event,recommended,NA,NA,NA,NA
day,event,Occurrence.Core,recommended,NA,NA,NA,NA
endDayOfYear,event,Event,recommended,NA,NA,NA,NA
endDayOfYear,event,Occurrence.Core,recommended,NA,NA,NA,NA
eventType,event,Event,strongly recommended,NA,NA,NA,NA
eventRemarks,event,Event,optional,NA,NA,NA,NA
eventRemarks,event,Occurrence.Core,optional,NA,NA,NA,NA
eventTime,event,Event,recommended,NA,NA,NA,NA
eventTime,event,Occurrence.Core,recommended,NA,NA,NA,NA
fieldNotes,event,Event,optional,NA,NA,NA,NA
fieldNotes,event,Occurrence.Core,optional,NA,NA,NA,NA
fieldNumber,event,Event,optional,NA,NA,NA,NA
fieldNumber,event,Occurrence.Core,optional,NA,NA,NA,NA
habitat,event,Event,recommended,NA,NA,NA,NA
habitat,event,Occurrence.Core,recommended,NA,NA,NA,NA
habitat,event,eMoF,recommended,NA,NA,NA,NA
month,event,Event,strongly recommended,NA,NA,NA,NA
month,event,Occurrence.Core,strongly recommended,NA,NA,NA,NA
